"Label WMS Alloc ID","Carton Label","Label Version","Label Item","Label Label ISD","Label Row/Lot","Label Store","Label RDC"
466,"212400000000018222","C-000490-01-015","NONSD0156.1",2017-05-08,"1A011",2460,3803
466,"212400000000018231","C-000490-01-015","NONSD0156.1",2017-05-08,"1A012",2525,3803
466,"212400000000018240","C-000490-01-015","NONSD0156.1",2017-05-08,"1A013",2103,3803
466,"212400000000018259","C-000490-01-015","NONSD0156.1",2017-05-08,"1A014",2345,3803
466,"212400000000018268","C-000490-01-015","NONSD0156.1",2017-05-08,"1A015",856,3803
466,"212400000000018277","C-000490-01-015","NONSD0156.1",2017-05-08,"1A016",2010,3803
466,"212400000000018286","C-000490-01-015","NONSD0156.1",2017-05-08,"1A017",2095,3803
466,"212400000000018295","C-000490-01-015","NONSD0156.1",2017-05-08,"1A018",1860,3803
466,"212400000000018301","C-000490-01-015","NONSD0156.1",2017-05-08,"1A019",857,3803
466,"212400000000018310","C-000490-01-015","NONSD0156.1",2017-05-08,"1A020",2357,3803
